livrooms_count,district,year,level,house_levels,const_tech,area,liv_area,kitchen_area,price,log_price
3,Ленинский,2024.0,3,21,панель,98.5,53.6,23.9,15070000,16.528216570602677
2,Советский,1978.0,4,9,панель,53.0,28.8,9.7,7777777,15.86678112267741
3,Советский,2017.0,6,11,блок+утеплитель,100.2,47.0,13.3,29500000,17.19990082131005
3,Советский,2020.0,10,10,блок+утеплитель,80.6,43.9,18.0,14000000,16.454567887579532
2,Канавинский,1983.0,2,9,панель,51.6,28.8,9.0,6700000,15.717618084361195
3,Московский,1980.0,9,9,панель,60.5,44.5,7.1,6650000,15.710127412632037
2,Советский,2020.0,2,17,блок+утеплитель,64.4,28.2,26.9,13800000,16.440179150127435
0,Автозаводский,2022.0,8,10,панель,24.0,12.3,1.0,4350000,15.285686403064867
2,Автозаводский,1959.0,1,5,кирпич,42.9,26.9,6.0,5400000,15.501909511534503
0,Нижегородский,2021.1702127659576,17,17,монолитный железобетон,26.0,18.1,1.0,6200000,15.64005985001532
3,Нижегородский,2008.0,4,17,кирпич,106.0,48.5,13.1,21000000,16.860032995687696
2,Приокский,1963.0,0,5,кирпич,41.0,28.0,6.0,4500000,15.319587954740548
0,Московский,2019.0,23,25,кирпич,18.4,12.2,1.0,4600000,15.341566861459324
2,Ленинский,1968.0,5,5,панель,42.8,28.2,5.9,5300000,15.483217378522351
2,Канавинский,1990.0,8,9,панель,42.9,27.1,6.9,5600000,15.538277155705378
1,Автозаводский,1992.4320625610949,11,13,кирпич,38.9,24.6,6.6,4890000,15.402702861451054
3,Автозаводский,1978.0,4,5,кирпич,63.6,47.0,6.5,5300000,15.483217378522351
0,Советский,2026.0,10,25,монолитный железобетон,24.7,12.2,3.4,4999000,15.424748450395708
2,Ленинский,1962.0,5,5,панель,44.0,28.0,6.0,5290000,15.481328803834483
1,Ленинский,2021.0,3,17,блок+утеплитель,42.0,14.0,16.5,8000000,15.89495209964411
2,Ленинский,1974.0,1,5,панель,41.2,25.6,6.0,5800000,15.573368475516649
1,Канавинский,1964.0,4,5,кирпич,32.0,18.0,6.0,3500000,15.068273526459642
2,Советский,1975.0,8,12,кирпич,50.0,30.0,8.0,9900000,16.108045315104818
3,Нижегородский,2021.0,8,22,кирпич,100.0,50.0,13.0,30000000,17.216707939626428
2,Ленинский,1962.0,2,4,кирпич,41.9,28.0,9.0,4800000,15.38412647587812
2,Советский,1974.0,2,5,кирпич,49.9,33.0,6.0,6700000,15.717618084361195
3,Автозаводский,1990.0,8,10,панель,62.9,37.6,9.0,10000000,16.11809565095832
3,Автозаводский,1991.0,1,10,монолитный железобетон,66.6,39.8,9.0,8500000,15.955576721460545
2,Автозаводский,2024.0,11,25,блок+утеплитель,51.12,24.5,11.5,10410844,16.15835851319325
1,Приокский,2023.0,16,19,блок+утеплитель,39.9,13.8,14.3,7850000,15.876024089758591
3,Приокский,1990.0,5,9,панель,67.0,45.0,8.5,9200000,16.034714042019267
3,Нижегородский,2006.0,3,12,кирпич,116.3,80.0,15.0,49000000,17.7073308560749
1,Автозаводский,2019.0,10,10,кирпич,42.77,20.0,11.0,7000000,15.761420707019587
2,Ленинский,1981.0,9,9,панель,38.0,22.4,6.0,5400000,15.501909511534503
2,Приокский,1962.0,3,5,кирпич,41.5,28.1,5.7,5000000,15.424948470398375
2,Ленинский,1961.0,1,2,кирпич,38.3,23.6,4.8,4500000,15.319587954740548
1,Сормовский,1959.0,2,2,шлакоблок,32.1,22.7,4.6,2850000,14.862829552244833
1,Канавинский,1967.0,5,5,кирпич,31.0,17.5,5.1,3150000,14.962913010801817
2,Приокский,2024.0,4,15,блок+утеплитель,64.5,29.4,13.33,12641742,16.352514753642865
2,Приокский,2024.0,2,15,блок+утеплитель,70.25,30.0,22.0,13100782,16.388182481046215
2,Канавинский,1959.0,3,3,кирпич,38.7,27.8,4.8,3200000,14.978661367769956
3,Московский,1957.0,2,5,кирпич,60.3,39.7,7.3,6800000,15.732433170146335
1,Московский,2012.0,1,9,блок+утеплитель,27.0,15.6,5.0,5300000,15.483217378522351
3,Нижегородский,2001.0,4,9,панель,104.8,56.0,12.6,16300000,16.60667566577699
2,Нижегородский,1965.0,4,5,панель,45.0,30.0,6.0,7990000,15.893701317742458
2,Московский,1958.0,1,5,кирпич,54.0,31.3,7.29,6000000,15.60727002719233
3,Приокский,1966.0,2,5,кирпич,57.0,43.6,6.0,7300000,15.80338490611862
3,Московский,1958.0,5,5,кирпич,68.0,43.0,6.5,6900000,15.747031969567487
3,Канавинский,1968.0,4,9,панель,52.6,36.7,7.1,7200000,15.789591583986283
2,Нижегородский,2008.0,7,10,блок+утеплитель,77.0,40.3,20.0,23000000,16.951004773893423
2,Приокский,2015.0,10,19,блок+утеплитель,52.6,27.5,11.5,9300000,16.045524958123483
1,Советский,2018.0,10,18,блок+утеплитель,37.3,12.0,13.3,8300000,15.931766072766827
3,Автозаводский,1980.0,9,9,кирпич,64.5,39.1,7.1,6500000,15.687312734865866
4,Нижегородский,1993.0,4,5,панель,81.0,48.1,10.6,10100000,16.12804598181149
3,Автозаводский,2008.0,3,17,блок+утеплитель,87.5,50.0,15.0,14850000,16.51351042321298
3,Нижегородский,2015.0,3,14,кирпич,106.9,58.4,13.7,25500000,17.054189010128656
1,Канавинский,2009.0,15,16,блок+утеплитель,42.0,20.5,12.2,8800000,15.990262279448435
2,Нижегородский,2022.28591954023,6,10,блок+утеплитель,65.6,32.3,12.8,11699000,16.27501392602974
3,Канавинский,1993.0,3,5,панель,58.4,38.6,8.8,6600000,15.702580206996654
2,Нижегородский,2018.0,3,25,блок+утеплитель,66.7,34.2,12.1,12300000,16.325109820342647
1,Нижегородский,2012.0,10,17,блок+утеплитель,39.6,18.5,11.4,6800000,15.732433170146335
1,Сормовский,2019.0,9,10,блок+утеплитель,37.8,10.0,15.5,4990000,15.422946467727702
1,Советский,1992.4320625610949,2,10,кирпич,35.9,18.5,9.0,7100000,15.775605342011543
0,Московский,1936.0,2,4,кирпич,15.2,10.0,1.0,2200000,14.603967918328545
1,Нижегородский,1972.0,2,9,кирпич,34.6,18.7,9.0,7300000,15.80338490611862
2,Московский,1972.0,2,9,кирпич,40.0,25.8,6.0,6700000,15.717618084361195
2,Московский,2019.0,9,10,панель,53.2,31.0,10.0,9190000,16.03362649433187
2,Нижегородский,2023.0,4,18,кирпич,91.0,60.0,20.0,33900000,17.33892557235068
2,Автозаводский,1984.0,8,9,кирпич,49.2,28.3,8.1,6250000,15.648092021712584
2,Ленинский,2020.0,2,12,блок+утеплитель,52.4,25.7,10.5,10500000,16.166885815127753
4,Советский,1995.0,10,10,кирпич,77.0,51.2,7.8,10839000,16.198661298797887
2,Автозаводский,1956.0,2,4,кирпич,59.0,32.3,7.7,5939000,15.597051326997997
1,Советский,1967.0,4,5,панель,32.0,19.1,5.6,4550000,15.330637790927133
2,Приокский,1970.0,5,5,панель,49.6,32.0,5.8,5760000,15.566448032672074
1,Приокский,1990.0,7,10,кирпич,27.7,12.9,6.8,4500000,15.319587954740548
2,Канавинский,1988.0,3,10,панель,51.9,29.4,8.8,6490000,15.685773088680273
4,Сормовский,1996.0,4,10,панель,96.0,54.1,10.6,9050000,16.01827531567611
3,Советский,1970.0,4,5,кирпич,62.8,43.4,6.1,6500000,15.687312734865866
1,Ленинский,1938.0,2,2,кирпич,25.4,16.2,6.8,3100000,14.946912669455374
2,Автозаводский,1973.0,5,9,панель,45.0,27.7,7.0,5300000,15.483217378522351
3,Ленинский,1972.0,5,5,панель,61.7,49.5,5.8,6399000,15.671652286121597
3,Нижегородский,1978.0,3,9,панель,62.6,47.7,5.6,8400000,15.943742263813542
2,Советский,2026.0,2,13,блок+утеплитель,55.7,23.7,15.6,17200000,16.660419941783683
2,Канавинский,1995.0,11,14,кирпич,48.6,28.8,6.8,6300000,15.65606019136176
3,Ленинский,1964.0,4,5,кирпич,56.7,37.6,6.0,6350000,15.663965370868874
3,Советский,2017.0,10,26,панель,78.0,48.0,14.0,17800000,16.694709015262312
2,Советский,1963.0,2,3,кирпич,37.5,27.5,4.9,5800000,15.573368475516649
3,Советский,1966.0,3,5,панель,57.0,40.0,5.6,5600000,15.538277155705378
3,Московский,1992.0,5,5,кирпич,65.4,45.2,7.8,6100000,15.623799329143539
1,Приокский,1988.0,9,9,панель,33.3,17.4,8.4,6500000,15.687312734865866
2,Автозаводский,1986.0,8,10,панель,52.4,30.5,8.4,6700000,15.717618084361195
3,Автозаводский,1958.0,3,5,кирпич,75.4,51.7,8.7,10499999,16.166885719889653
2,Автозаводский,2007.0,2,17,панель,76.8,40.0,17.3,11000000,16.213405830762646
2,Московский,1977.0,8,9,кирпич,46.0,30.0,6.0,4990000,15.422946467727702
1,Канавинский,2015.0,9,12,кирпич,53.0,21.0,11.6,9100000,16.02378497148708
2,Советский,2022.0,16,17,блок+утеплитель,72.2,34.2,15.7,12712260,16.358077440104694
1,Автозаводский,1969.0,4,5,кирпич,41.0,27.5,6.0,4699000,15.362860278084952
2,Автозаводский,1960.0,4,5,кирпич,46.0,29.0,5.5,4790000,15.382040969387099
1,Новинский,2022.0,5,5,блок+утеплитель,24.0,12.0,5.0,3590000,15.093662760464461
2,Нижегородский,2023.0,13,23,блок+утеплитель,52.0,20.5,17.5,14990000,16.522893870078782
2,Ленинский,2019.0,11,24,блок+утеплитель,52.4,30.0,17.0,8000000,15.89495209964411
3,Автозаводский,1948.0,2,2,шлакоблок,51.9,35.1,7.5,4480000,15.315133604391168
2,Московский,1962.0,5,5,кирпич,42.7,28.0,5.8,4200000,15.250595083253597
3,Нижегородский,1966.0,2,5,кирпич,42.4,29.0,6.0,7500000,15.830413578506539
1,Автозаводский,1960.0,3,3,шлакоблок,25.6,16.0,4.7,2870000,14.869822587735804
2,Канавинский,1978.0,1,9,панель,42.7,27.2,7.0,7700000,15.856730886823913
1,Советский,1971.0,1,10,кирпич,32.7,17.2,8.8,5400000,15.501909511534503
4,Сормовский,2001.0,6,6,панель,104.3,74.7,13.1,9000000,16.012735135300492
1,Советский,2024.0,6,17,блок+утеплитель,30.0,16.0,8.0,9470000,16.06363946516226
1,Автозаводский,2026.0,1,8,блок+утеплитель,41.0,10.7,17.3,7198727,15.789414762798783
1,Нижегородский,2026.0,4,17,блок+утеплитель,55.24,15.29,22.31,16451036,16.61589901191598
2,Советский,2025.0,8,13,кирпич,56.0,27.3,13.8,17374645,16.670522517551724
4,Ленинский,1974.0,1,9,панель,86.6,45.8,9.3,13300000,16.40327459319198
2,Приокский,2014.0,4,5,кирпич,61.0,30.6,14.9,10150000,16.13298426345207
1,Нижегородский,1985.0,8,9,панель,32.7,17.0,8.0,5599000,15.53809856833103
2,Приокский,2019.0,12,16,блок+утеплитель,52.5,37.3,10.8,8999999,16.012735024189375
2,Московский,1970.0,5,5,панель,47.9,31.5,6.0,5600000,15.538277155705378
3,Нижегородский,2015.0,6,17,блок+утеплитель,119.0,62.1,13.3,15380750,16.548627285482205
3,Нижегородский,2015.0,16,17,блок+утеплитель,102.3,55.8,14.4,12531750,16.343775981924498
3,Нижегородский,2015.0,11,17,блок+утеплитель,118.9,62.1,13.3,14268000,16.47352982546092
3,Нижегородский,2018.0,17,19,блок+утеплитель,107.5,57.8,14.8,14308250,16.47634685195092
3,Нижегородский,2018.0,10,19,блок+утеплитель,107.6,57.8,14.8,13907300,16.447924440098358
3,Нижегородский,2015.0,13,17,блок+утеплитель,101.9,55.8,14.4,12329900,16.32753776480756
3,Нижегородский,2018.0,15,18,блок+утеплитель,107.8,57.8,14.8,12936000,16.37552468023908
3,Нижегородский,2018.0,6,19,блок+утеплитель,107.3,57.8,14.8,13632465,16.427964638384964
3,Нижегородский,2018.0,16,19,блок+утеплитель,107.5,57.8,14.8,14249125,16.47220605928489
3,Нижегородский,2018.0,12,18,блок+утеплитель,107.9,57.8,14.8,12786150,16.363873111821412
3,Нижегородский,2015.0,7,17,блок+утеплитель,117.9,62.1,13.3,15303420,16.543586890795453
3,Нижегородский,2015.0,14,17,блок+утеплитель,102.4,55.8,14.4,12441600,16.336556254368148
3,Нижегородский,2015.0,13,17,блок+утеплитель,101.5,66.0,14.1,13509650,16.418914802865046
3,Нижегородский,2018.0,21,25,блок+утеплитель,107.8,55.1,14.4,13259400,16.400217292829453
3,Нижегородский,2015.0,12,17,блок+утеплитель,118.7,62.1,13.3,15733685,16.571314513332794
3,Нижегородский,2015.0,16,17,блок+утеплитель,102.3,55.8,14.4,13784925,16.439086161728824
3,Нижегородский,2018.0,19,25,блок+утеплитель,107.8,55.1,14.4,13151600,16.39205398219029
3,Нижегородский,2018.0,18,18,блок+утеплитель,107.4,57.8,14.8,14354010,16.47953990364183
3,Нижегородский,2018.0,19,19,блок+утеплитель,107.5,57.8,14.8,14426500,16.484577351087434
3,Нижегородский,2018.0,11,18,блок+утеплитель,107.6,57.8,14.8,13966480,16.452170730979812
3,Нижегородский,2015.0,14,17,блок+утеплитель,101.8,66.0,14.1,12368700,16.33067964587916
3,Нижегородский,2015.0,7,17,блок+утеплитель,118.9,62.1,13.3,15433220,16.55203288694886
3,Нижегородский,2015.0,4,17,блок+утеплитель,117.9,62.1,13.3,15108885,16.53079353933554
3,Нижегородский,2018.0,8,19,блок+утеплитель,107.6,57.8,14.8,13788940,16.4393773795199
1,Канавинский,2021.0,5,8,блок+утеплитель,41.42,24.97,10.78,4763300,15.376451263312825
3,Нижегородский,2018.0,16,25,блок+утеплитель,107.8,54.9,14.4,14288890,16.474992870192068
3,Нижегородский,2018.0,18,25,блок+утеплитель,107.8,54.9,14.4,14407470,16.483257380041962
3,Нижегородский,2018.0,5,19,блок+утеплитель,107.0,57.8,14.8,12305000,16.325516241807293
3,Нижегородский,2018.0,11,25,блок+утеплитель,107.8,54.9,14.4,13992440,16.454027741727025
3,Нижегородский,2018.0,10,25,блок+утеплитель,107.8,54.9,14.4,13933150,16.449781450845574
3,Нижегородский,2018.0,6,25,блок+утеплитель,107.8,54.9,14.4,12450900,16.33730346741888
1,Канавинский,2021.0,6,8,блок+утеплитель,41.42,24.97,10.78,4763300,15.376451263312825
3,Нижегородский,2018.0,15,25,блок+утеплитель,107.8,54.9,14.4,14229600,16.470834860043404
3,Нижегородский,2018.0,21,25,блок+утеплитель,107.8,54.9,14.4,14585340,16.495527472633775
3,Нижегородский,2018.0,8,25,блок+утеплитель,107.8,54.9,14.4,13814570,16.441234390267113
3,Нижегородский,2018.0,20,25,блок+утеплитель,107.8,54.9,14.4,14526050,16.49145414724614
3,Нижегородский,2018.0,7,25,блок+утеплитель,107.8,54.9,14.4,13755280,16.436933308367724
3,Нижегородский,2018.0,23,25,блок+утеплитель,107.8,54.9,14.4,14703920,16.503624682866395
3,Нижегородский,2018.0,9,25,блок+утеплитель,107.8,54.9,14.4,13873860,16.445517052059113
3,Нижегородский,2018.0,19,25,блок+утеплитель,107.8,54.9,14.4,14466760,16.487364161994616
3,Автозаводский,1955.0,4,4,кирпич,74.1,47.1,7.9,6500000,15.687312734865866
3,Автозаводский,2024.0,18,25,блок+утеплитель,66.2,38.9,9.8,12535632,16.344085707130827
2,Московский,1973.0,7,9,кирпич,45.1,27.4,6.4,5499000,15.520076815489952
2,Автозаводский,1948.0,2,2,шлакоблок,37.6,21.0,6.0,3800000,15.150511624696614
2,Советский,1956.0,3,4,кирпич,46.7,29.1,5.1,6500000,15.687312734865866
2,Приокский,1970.0,3,5,панель,38.3,23.8,5.9,5200000,15.464169183551656
1,Нижегородский,2004.0,8,10,кирпич,40.4,17.3,13.1,7990000,15.893701317742458
1,Автозаводский,2024.0,15,25,блок+утеплитель,39.9,12.6,16.9,7600000,15.84365880525656
1,Канавинский,1964.0,2,5,кирпич,32.2,18.3,5.7,3300000,15.009433026436708
1,Канавинский,2007.0,2,12,панель,50.0,19.0,10.0,8690000,15.977683497241575
3,Автозаводский,1972.0,5,5,панель,50.2,34.5,6.0,5990000,15.605601970091632
3,Сормовский,1972.0,7,9,кирпич,58.5,40.1,7.2,5800000,15.573368475516649
2,Советский,2023.0,12,16,блок+утеплитель,51.7,21.3,15.0,16000000,16.588099280204055
3,Сормовский,1968.0,4,9,панель,60.7,44.2,7.0,7640000,15.848908161142703
2,Канавинский,2013.0,5,5,кирпич,70.7,38.0,14.0,7490000,15.829079355493402
2,Автозаводский,1992.4320625610949,3,5,кирпич,30.0,23.0,6.0,2700000,14.808762330974558
1,Московский,2017.0,10,17,панель,29.3,15.0,6.0,5800000,15.573368475516649
2,Канавинский,1965.0,1,5,кирпич,41.9,28.0,5.8,5000000,15.424948470398375
2,Московский,1958.0,4,5,кирпич,44.4,19.5,8.5,4870000,15.398604495058773
1,Нижегородский,1994.0,7,9,панель,32.9,17.0,9.0,5800000,15.573368475516649
1,Автозаводский,2012.0,1,10,панель,44.6,18.0,9.5,5900000,15.590462908875947
1,Автозаводский,1963.0,5,5,панель,30.3,18.0,5.5,4100000,15.226497531674536
2,Канавинский,1970.0,3,5,кирпич,44.3,30.5,6.0,5399000,15.501724309200425
2,Автозаводский,1987.0,2,9,панель,44.4,27.4,7.0,5100000,15.444751097694555
2,Автозаводский,1959.0,2,2,шлакоблок,36.3,24.7,4.9,3500000,15.068273526459642
3,Нижегородский,2013.0,8,10,кирпич,86.6,53.2,12.2,25700000,17.06200154986545
0,Автозаводский,2024.0,23,25,блок+утеплитель,22.2,13.2,1.0,4406380,15.298564048653594
1,Автозаводский,1959.0,3,5,кирпич,30.9,17.3,5.6,4200000,15.250595083253597
2,Ленинский,1966.0,4,5,панель,43.7,30.2,5.5,6300000,15.65606019136176
2,Приокский,1969.0,1,5,кирпич,43.7,35.0,5.8,5000000,15.424948470398375
3,Советский,1993.0,6,10,панель,62.3,37.6,9.0,10000000,16.11809565095832
2,Автозаводский,2015.0,2,10,панель,43.1,26.4,7.1,7500000,15.830413578506539
2,Автозаводский,1974.0,1,5,панель,39.0,24.0,6.0,4500000,15.319587954740548
2,Автозаводский,1964.0,4,5,панель,42.6,29.0,6.0,5249999,15.473738444091598
3,Ленинский,2004.0,1,10,панель,68.1,40.3,9.5,8300000,15.931766072766827
2,Сормовский,2009.0,4,9,кирпич,86.1,38.1,16.8,17000000,16.64872390202049
3,Ленинский,1957.0,2,5,кирпич,76.5,48.4,8.0,9100000,16.02378497148708
3,Автозаводский,1961.0,2,5,кирпич,55.2,42.5,5.9,5400000,15.501909511534503
2,Автозаводский,2012.0,1,3,блок+утеплитель,52.8,32.0,11.0,6600000,15.702580206996654
3,Автозаводский,1972.0,5,9,кирпич,58.6,38.7,7.1,6300000,15.65606019136176
3,Советский,1976.0,1,9,панель,57.7,38.8,8.8,8100000,15.907374619642667
1,Московский,1985.0,5,9,кирпич,29.0,12.7,7.0,3750000,15.137266397946593
2,Канавинский,2024.0,3,10,панель,59.0,35.0,11.0,8020000,15.897448979842697
3,Канавинский,2017.0,6,27,панель,73.0,47.9,14.1,13700000,16.432906390798355
2,Советский,2024.0,4,15,блок+утеплитель,70.0,35.0,15.0,14950000,16.52022185780097
3,Московский,1975.0,3,9,кирпич,56.6,38.0,7.5,6380000,15.668678655320972
3,Нижегородский,2009.0,3,9,кирпич,116.9,39.0,25.7,37000000,17.4264284706085
2,Московский,1989.0,5,9,панель,50.8,28.8,7.4,6200000,15.64005985001532
1,Канавинский,1979.0,6,9,кирпич,29.4,17.6,5.4,3200000,14.978661367769956
3,Автозаводский,1955.0,1,5,кирпич,74.1,47.5,7.5,7500000,15.830413578506539
2,Приокский,2013.0,10,11,панель,63.7,31.9,13.7,10200000,16.1378982782545
3,Сормовский,1988.0,1,9,панель,63.0,44.3,7.0,7250000,15.796512026830857
2,Сормовский,1967.0,4,5,панель,42.0,27.9,5.5,4400000,15.29711509888849
3,Сормовский,1957.0,1,2,кирпич,40.4,28.8,5.0,3650000,15.110237725558674
1,Нижегородский,2024.0,25,25,блок+утеплитель,50.57,16.55,18.11,8200000,15.919644712234481
3,Канавинский,1987.0,5,5,панель,75.3,43.7,8.5,8555000,15.962026465308432
3,Канавинский,1988.0,9,9,панель,71.2,44.9,7.8,9650000,16.082468473315167
1,Московский,1996.0,3,5,кирпич,31.1,15.3,9.5,5100000,15.444751097694555
3,Московский,2006.0,1,10,панель,72.5,40.1,11.8,10000000,16.11809565095832
1,Советский,1994.0,5,10,панель,33.9,19.0,8.5,6100000,15.623799329143539
2,Приокский,2016.0,1,17,блок+утеплитель,72.5,37.1,13.0,10200000,16.1378982782545
1,Нижегородский,1974.0,2,9,панель,33.0,17.5,6.0,5900000,15.590462908875947
1,Ленинский,2021.0,7,17,блок+утеплитель,40.0,13.8,16.2,8000000,15.89495209964411
2,Советский,2015.0,3,17,панель,68.0,34.9,12.0,10500000,16.166885815127753
2,Советский,1961.0,4,4,кирпич,43.5,29.9,6.4,5500000,15.520258650202699
3,Канавинский,1985.0,2,9,панель,67.0,28.3,9.4,8500000,15.955576721460545
3,Канавинский,1979.0,9,9,панель,56.0,39.9,7.1,6800000,15.732433170146335
2,Нижегородский,1981.0,7,9,кирпич,46.4,28.0,7.5,7800000,15.86963429165982
3,Канавинский,1963.0,3,3,кирпич,55.0,41.1,6.0,8000000,15.89495209964411
3,Советский,2023.0,3,10,блок+утеплитель,82.0,39.0,22.5,15500000,16.556350581889475
2,Советский,1962.0,3,3,кирпич,46.0,32.0,5.5,5500000,15.520258650202699
2,Нижегородский,2022.0,1,17,блок+утеплитель,67.0,33.0,24.0,9500000,16.06680235657077
1,Советский,2020.0,4,18,блок+утеплитель,33.0,14.0,9.0,6600000,15.702580206996654
3,Приокский,2019.0,15,19,блок+утеплитель,65.5,40.0,9.5,12000000,16.300417207752275
1,Новинский,2021.1702127659576,2,3,монолитный железобетон,19.2,10.2,4.0,2950000,14.897315728316002
0,Советский,2020.0,11,17,блок+утеплитель,23.5,18.5,1.0,7900000,15.88237331743725
1,Советский,2022.0,17,18,блок+утеплитель,33.0,15.0,8.8,6500000,15.687312734865866
2,Советский,1992.4320625610949,1,1,кирпич,48.0,26.0,8.0,4400000,15.29711509888849
1,Канавинский,1979.0,6,9,панель,32.7,17.1,9.9,5750000,15.564710412773533
2,Автозаводский,1989.0,1,9,панель,43.2,27.2,7.0,5800000,15.573368475516649
2,Нижегородский,1992.4320625610949,4,9,кирпич,46.4,29.5,6.0,9100000,16.02378497148708
3,Московский,1993.0,5,10,кирпич,60.2,38.3,8.1,13900000,16.44739939810092
1,Советский,2019.0,9,9,блок+утеплитель,39.0,22.0,8.0,8800000,15.990262279448435
1,Сормовский,2008.0,10,10,кирпич,42.4,18.1,11.0,5890000,15.58876655562777
1,Приокский,1953.0,2,2,кирпич,36.0,19.5,8.9,4650000,15.35237777756354
2,Нижегородский,2024.0,8,20,кирпич,59.9,28.9,16.6,16600000,16.62491325332677
2,Приокский,1971.0,1,5,панель,51.0,32.0,6.0,5100000,15.444751097694555
2,Советский,1959.0,2,2,кирпич,38.0,26.3,4.2,3400000,15.03928598958639
1,Приокский,1976.0,8,12,кирпич,41.5,18.0,10.0,6650000,15.710127412632037
5,Нижегородский,1962.0,3,4,кирпич,97.0,64.0,10.0,11000000,16.213405830762646
2,Советский,2019.0,16,18,блок+утеплитель,48.5,23.0,14.0,9000000,16.012735135300492
2,Ленинский,1956.0,2,4,кирпич,52.0,34.0,6.8,6200000,15.64005985001532
0,Канавинский,2026.0,21,28,блок+утеплитель,24.27,14.07,1.0,4700000,15.363073066680286
2,Советский,2024.0,5,17,блок+утеплитель,62.9,28.2,15.4,11600000,16.266515656076592
3,Советский,1974.0,5,9,кирпич,58.0,39.0,6.0,7100000,15.775605342011543
3,Нижегородский,1972.0,2,9,панель,60.7,44.4,7.2,9300000,16.045524958123483
3,Приокский,1984.0,9,9,панель,58.9,43.0,6.7,7300000,15.80338490611862
1,Советский,1992.4320625610949,6,10,кирпич,30.2,15.9,6.5,6600000,15.702580206996654
3,Советский,2023.0,3,19,панель,81.5,42.9,17.5,18200000,16.716932152047026
1,Нижегородский,1967.0,4,5,кирпич,31.1,17.6,6.2,7999999,15.894951974644103
1,Советский,2015.0,16,17,панель,41.6,17.6,10.1,7100000,15.775605342011543
2,Автозаводский,1975.0,4,9,кирпич,44.1,30.1,5.9,5300000,15.483217378522351
2,Автозаводский,1975.0,4,9,кирпич,44.1,30.1,5.9,5300000,15.483217378522351
3,Автозаводский,2001.0,2,10,панель,67.2,42.6,8.5,7500000,15.830413578506539
3,Автозаводский,1974.0,1,5,кирпич,61.8,47.9,5.9,5900000,15.590462908875947
2,Автозаводский,1961.0,5,5,кирпич,46.0,29.0,5.9,4650000,15.35237777756354
3,Нижегородский,2006.0,4,6,блок+утеплитель,117.0,66.89,10.2,29870000,17.212365190192294
0,Канавинский,2014.0,5,10,блок+утеплитель,29.0,17.5,1.0,4600000,15.341566861459324
3,Нижегородский,2005.0,2,9,панель,69.6,44.5,8.4,12200000,16.316946509703484
2,Автозаводский,1972.0,5,5,панель,47.2,32.0,6.0,5200000,15.464169183551656
2,Новинский,2023.0,7,10,блок+утеплитель,49.1,25.0,16.0,6800000,15.732433170146335
3,Автозаводский,1978.0,1,9,панель,55.0,36.0,7.5,6500000,15.687312734865866
2,Автозаводский,1988.0,4,9,панель,45.0,27.5,7.1,5600000,15.538277155705378
2,Автозаводский,1986.0,8,14,кирпич,48.8,28.0,8.5,7450000,15.823724590355742
2,Нижегородский,2026.0,7,17,блок+утеплитель,75.31,33.7,20.51,29398107,17.19644084248083
1,Нижегородский,2026.0,13,17,блок+утеплитель,50.18,14.77,17.6,21459331,16.88167012040317
2,Нижегородский,2026.0,9,17,блок+утеплитель,75.41,33.71,20.5,30206276,17.22356027532418
2,Нижегородский,2026.0,8,17,блок+утеплитель,75.41,33.71,20.5,29949558,17.21502512448695
4,Нижегородский,2026.0,8,17,блок+утеплитель,108.79,68.56,1.0,38328569,17.461706102978628
1,Нижегородский,2026.0,6,17,блок+утеплитель,62.17,16.79,26.41,24268760,17.004700484514565
2,Нижегородский,2026.0,6,17,блок+утеплитель,75.31,33.7,20.51,29159251,17.188282778903787
4,Нижегородский,2026.0,10,17,блок+утеплитель,108.79,68.56,1.0,39440120,17.49029413029043
1,Нижегородский,2026.0,7,17,блок+утеплитель,62.17,16.79,26.41,24465940,17.012792504203095
1,Нижегородский,2026.0,5,17,блок+утеплитель,50.18,14.77,17.6,18767316,16.74762740419847
1,Нижегородский,2026.0,5,17,блок+утеплитель,62.17,16.79,26.41,23056244,16.953447180093963
1,Нижегородский,2026.0,8,17,блок+утеплитель,50.18,14.77,17.6,20250823,16.82370599266627
2,Нижегородский,2026.0,3,17,блок+утеплитель,75.31,33.7,20.51,24321969,17.006890573956035
2,Нижегородский,2026.0,4,17,блок+утеплитель,75.31,33.7,20.51,27483392,17.129092452926542
4,Нижегородский,2026.0,9,17,блок+утеплитель,108.79,68.56,1.0,38696470,17.471258939369434
1,Нижегородский,2026.0,6,17,блок+утеплитель,50.18,14.77,17.6,19747571,16.79854105440607
2,Нижегородский,2026.0,5,17,блок+утеплитель,75.31,33.7,20.51,27692569,17.136674668019484
1,Нижегородский,2026.0,3,17,блок+утеплитель,62.17,16.79,26.41,20260960,16.82420643967012
2,Нижегородский,2026.0,6,17,блок+утеплитель,75.31,33.7,20.51,29159251,17.188282778903787
1,Нижегородский,2026.0,4,17,блок+утеплитель,62.17,16.79,26.41,22883676,16.945934375906404
2,Нижегородский,2026.0,7,17,блок+утеплитель,75.31,33.7,20.51,29398107,17.19644084248083
2,Нижегородский,2026.0,2,17,блок+утеплитель,75.31,33.7,20.51,24159902,17.00020487473127
1,Нижегородский,2026.0,2,17,блок+утеплитель,55.24,15.29,22.31,15873750,16.58017735948538
1,Нижегородский,2026.0,2,17,блок+утеплитель,62.17,16.79,26.41,20088270,16.815646620589444
